Validator,epoch,earned,active
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,0,NaN,active
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,1,0.000751578947368421,active
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,2,0.00000736842105262835,active
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,3,0.00001473684208942759,active
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,4,0,active
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,5,0,active
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,6,0.000007432286015779635,active
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,7,0.000007432286015779603,active
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,8,0,active
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,9,0,active
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,10,0,active
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,11,0,active
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,12,0.00004459371614299131,active
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,13,0.00008918743228598031,active
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,14,0.000022296858071493916,active
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,15,0.011196813217761954,active
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,16,0.009178887628277356,active
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,17,0.00516543878650132,active
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,18,0.0007990809500800647,active
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,19,0.016774066514601216,active
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,20,8106.630302917747,active
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,21,8012.860279141619,active
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,22,8145.493920659737,active
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,23,8096.818378333566,active
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,24,7493.604473637914,active
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,25,7174.080144279462,active
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,26,6840.401797818628,active
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,27,6326.175572726907,active
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,28,5972.711625433802,active
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,29,5898.474194701712,active
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,30,5787.018456021294,active
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,31,5773.412326318046,active
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,32,5780.941955158231,active
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,33,5769.136740071239,active
